rank,participant,C1_raw,C2_raw,C3_raw,C4_raw,C5_raw,C6_raw,C7_raw,score
1,Спортивное ориентирование,10,10,9,9,10,9,9,96.0
2,Шахматы,10,10,9,10,8,9,10,94.5
3,Легкая атлетика,7,9,9,9,6,8,7,78.5
4,Лыжные гонки,9,9,8,3,9,6,6,78.0
5,Настольный теннис,8,9,7,8,6,7,7,76.0
6,Скалолазание,8,9,5,6,7,7,8,73.0
7,Бадминтон,7,9,7,8,5,7,7,72.0
8,Каратэ,7,8,7,7,5,6,7,68.0
9,Плавание,5,9,7,9,5,5,8,66.5
10,Дзюдо / самбо,6,7,8,7,4,6,6,63.0
11,Теннис,5,9,4,6,5,5,7,58.5
12,Баскетбол,5,6,8,8,3,4,5,55.5
13,Велоспорт,5,8,5,2,5,7,5,55.0
14,Спортивная гимнастика,5,5,7,6,4,4,4,51.0
15,Футбол,4,5,8,8,2,4,4,49.0
