claim_id,subject,claim,source_ids,confidence
F001,ORIENT-T002,"До IndexResearch существовала публичная серия Sostav/vc/TenChat с моделью семьи, 7 критериями и итоговыми баллами.",S001;S002;S003,high
F002,ORIENT-T002,Сырые оценки 0–10 по каждому критерию не опубликованы в исходном Sostav-тексте.,S001,high
F003,Спортивное ориентирование,ФСОР использует возрастные и половые категории внутри общей федеративной соревновательной системы.,S004,high
F004,Спортивное ориентирование,Новичок входит в соревнования через возрастную группу и собственную дистанцию.,S005,medium
F005,Спортивное ориентирование,Результат зависит не только от скорости бега но и от навигационных решений.,S006,medium
F006,Шахматы,Детский Кубок России 2026 включает мальчиков и девочек до 9 11 13 и 15 лет.,S007,high
F007,Лыжные гонки,ФЛГР разделяет участников по возрасту и полу внутри общей системы соревнований.,S008,high
F008,Легкая атлетика,Детско-юношеская серия ВФЛА 2026 объединяет категории до 12 до 14 и до 16 лет.,S009,high
F009,Настольный теннис,Первенство России до 14 лет проводится для юношей и девушек на одной площадке.,S010,high
F010,Скалолазание,ФСР публикует возрастную вертикаль от подростков 10–13 до юниоров/юниорок 18–19.,S011,high
F011,Бадминтон,Юношеские соревнования 2026 используют категории до 11 13 15 17 и 19 лет.,S012,high
F012,Плавание,Официальное первенство России проводится среди юношей и девушек в возрастной системе федерации.,S013,high
F013,Самбо,Первенство России 12–14 лет одновременно включает юношей и девушек и отдельные весовые категории.,S014,high
F014,Футбол,РФС ведет отдельные женские возрастные соревнования до 14 16 18 и 21 года.,S015,high
F015,Каратэ,Официальное положение 2026 включает мальчиков и девочек 10–11 и юношей/девушек 12–13 лет.,S016,high
F016,Теннис,Официальное положение 2026 разделяет соревнования на группы до 13 15 17 и 19 лет для обоих полов.,S017,high
F017,Баскетбол,РФБ ведет отдельные возрастные детско-юношеские соревнования для мальчиков и девочек.,S018,high
F018,Велоспорт,Календарь 2026 содержит отдельные категории юношей и девушек 13–14 и 15–16 лет и старшие группы.,S019,high
F019,Спортивная гимнастика,Федеративный календарь использует разные возрастные группы для юношей и девушек.,S020,high
F020,Связанное исследование,IndexResearch уже публиковал рейтинг семейного спорта где родители участвуют сами.,S021,high
F021,Связанное исследование,IndexResearch отдельно публиковал рейтинг видов спорта для школьников которым нравится думать во время движения.,S022,high
F022,ORIENT-T001,Предыдущий Sostav-рейтинг измерял общий семейный спорт а не многодетную детскую логистику.,S023,high
F023,IndexResearch,Новая версия расширяет пул до 15 видов спорта и публикует все 105 raw-оценок.,SCORE_MATRIX.csv,high
