criterion_id,raw_score,anchor
C1,0-2,"Практически всегда разные объекты/команды/время для детей разного возраста."
C1,3-4,"Один клуб возможен, но расписания и команды обычно полностью расходятся."
C1,5-6,"Одна база возможна, но требуется несколько последовательных групп или отдельных визитов."
C1,7-8,"Одна площадка часто возможна, расписание частично совпадает."
C1,9-10,"Одна клубная/соревновательная среда хорошо обслуживает несколько возрастов одновременно."
C2,0-2,"Возраст или пол структурно требует разных систем."
C2,3-4,"Сильное разделение по возрасту/полу."
C2,5-6,"Один вид спорта, но семейная совместность быстро снижается по мере роста."
C2,7-8,"Широкая совместимость, часть контуров разделяется."
C2,9-10,"Мальчики и девочки широкого возрастного диапазона остаются в одной инфраструктуре."
C3,0-2,"Высокие регулярные расходы на каждого ребенка."
C3,3-4,"Выше среднего; при 3 детях быстро масштабируется."
C3,5-6,"Средний уровень регулярных расходов."
C3,7-8,"Невысокие расходы или широкая доступность бесплатных школ."
C3,9-10,"Очень низкие регулярные расходы / сильная бесплатная инфраструктура."
C4,0-2,"Дорогой персональный инвентарь с частым обновлением."
C4,3-4,"Заметный персональный комплект и регулярная замена."
C4,5-6,"Умеренный комплект."
C4,7-8,"Компактный/недорогой инвентарь."
C4,9-10,"Минимальный личный инвентарь и редкое обновление."
C5,0-2,"Соревнования почти всегда принадлежат отдельной возрастной/командной системе."
C5,3-4,"Общий выезд возможен редко."
C5,5-6,"Часть соревнований можно объединить."
C5,7-8,"Разные возраста часто встречаются на одной площадке/событии."
C5,9-10,"Один старт/турнир системно поддерживает много возрастов одновременно."
C6,0-2,"Жесткий командный режим и низкая гибкость."
C6,3-4,"Группы жестко привязаны к времени и составу."
C6,5-6,"Средняя гибкость."
C6,7-8,"Легко варьировать уровень/группу внутри одной инфраструктуры."
C6,9-10,"Очень гибкий вход и тренировочный режим."
C7,0-2,"Младшему почти наверняка потребуется другая система."
C7,3-4,"Вход младшего существенно отложен или требует отдельной инфраструктуры."
C7,5-6,"Вход возможен позже, но с отдельной группой/режимом."
C7,7-8,"Младший относительно легко входит в тот же клуб."
C7,9-10,"Возрастная вертикаль позволяет почти бесшовно подключить младшего."
