source_id,subject,class,title,url,used_for,note
S001,ORIENT-T002,prior_publication,Sostav: ТОП-10 видов спорта для многодетных семей,https://www.sostav.ru/blogs/292167/108610,scenario;criteria;qualitative_evidence,"Публичная версия от 14.09.2026: модель семьи, 7 критериев, веса, итоговые баллы и разбор исходных 10 видов спорта."
S002,ORIENT-T002,prior_publication,vc.ru: спортивное ориентирование и другие виды спорта для многодетных семей,https://vc.ru/life/3138563-sportivnoe-orientirovanie-i-drugie-vidy-sporta-dlya-mnogodetnyh-semej,scenario;qualitative_evidence,Адаптированная публикация семейства.
S003,ORIENT-T002,prior_publication,TenChat: ТОП-10 видов спорта для многодетной семьи,https://tenchat.ru/media/6133775-top10-vidov-sporta-dlya-mnogodetnoy-semi-3-rebenka-1-marshrut-2026,scenario;qualitative_evidence,Адаптированная публикация семейства.
S004,Спортивное ориентирование,official_federation,ФСОР: статистика 2025 и возрастные категории,https://rufso.ru/фсор-статистика-2025/,C2;C5;C7,"Возрастные категории юноши/девушки/юниоры/юниорки/мужчины/женщины внутри календаря ФСОР."
S005,Спортивное ориентирование,expert_publication,Первый старт по спортивному ориентированию: инструкция новичку,https://www.sports.ru/others/blogs/3489377.html,C1;C6;C7,Практика возрастных групп старта и входа новичка.
S006,Спортивное ориентирование,expert_publication,Почему быстрого бега недостаточно для победы в ориентировании,https://www.sports.ru/others/blogs/3448972.html,C2;C6,Разные спортивные задачи внутри одной физической среды.
S007,Шахматы,official_federation,Детский Кубок России 2026,https://ruchess.ru/championship/detail/2026/detskiy_kubok_rossii_2026_goda_tp/?version=desktop,C1;C2;C5;C7,"Группы до 9, 11, 13, 15 лет для мальчиков и девочек."
S008,Лыжные гонки,official_federation,Правила проведения соревнований ФЛГР,https://www.flgr.ru/rules/rules1/6760/,C2;C5;C7,Возрастные и половые группы внутри одной соревновательной системы.
S009,Легкая атлетика,official_federation,ВФЛА: серия детско-юношеских соревнований 2026,https://rusathletics.info/news/20098-seriya-detsko-yunosheskix-sorevnovanij-nachinaetsya-uzhe-na-etoj-nedele/,C2;C5;C7,"Серия объединяет категории до 12, до 14 и до 16 лет."
S010,Настольный теннис,official_federation,Первенство России до 14 лет 2026,https://ttfr.ru/news/4131,C1;C2;C5,"Юноши и девушки до 14 лет на одной площадке."
S011,Скалолазание,official_federation,Федерация скалолазания России: календарь и группы,https://c-f-r.ru/competitions/2026/regional/,C2;C5;C7,"Подростки 10–13, младшие 14–15, старшие 16–17, юниоры/юниорки 18–19."
S012,Бадминтон,official_federation,Южный берег 2026 и юношеские возрастные категории,https://www.badm.ru/news/badminton,C2;C5;C7,"Категории до 11, 13, 15, 17, 19 лет."
S013,Плавание,official_federation,Первенство России по плаванию среди юношей и девушек 2026,https://russwimming.ru/competitions/pervenstvo-rossii-po-plavaniyu-sredi-yunoshey-i-devushek-2-26/,C2;C5,Отдельная официальная возрастная соревновательная система.
S014,Дзюдо / самбо,official_federation,Первенство России по самбо 12–14 лет 2026,https://sambo.ru/events/2026/6/4781/,C2;C5,"Юноши и девушки с отдельными весовыми категориями."
S015,Футбол,official_federation,РФС: календарный план юниорки девушки девочки 2026,https://www.rfs.ru/subject/1/documents/preview?documentId=2038,C1;C2;C5,"Женские возрастные контуры до 14, 16, 18 и 21 года имеют отдельные соревнования."
S016,Каратэ,normative,Положение о всероссийских соревнованиях по каратэ 2026,https://www.consultant.ru/document/cons_doc_LAW_542853/,C2;C5;C7,"Категории мальчики/девочки 10–11 и юноши/девушки 12–13 лет и старше."
S017,Теннис,normative,Положение о всероссийских соревнованиях по теннису 2026,https://base.garant.ru/413561532/,C2;C5;C7,"Группы до 13, 15, 17 и 19 лет для юношей и девушек."
S018,Баскетбол,official_federation,РФБ: прием заявок на детско-юношеские соревнования сезона 2026/27,https://mofb.russiabasket.ru/news/24656/otkryt-priem-zayavok-na-provedenie-i-uchastie-v-detsko-yunosheskix-sorevnovaniyax,C1;C2;C5,"Раздельные возрастные соревнования для юниоров/юниорок, юношей/девушек."
S019,Велоспорт,official_federation,Федерация велосипедного спорта России: результаты соревнований 2026,https://fvsr.ru/results,C2;C5;C7,"Категории юноши/девушки 13–14, 15–16, юниоры/юниорки 17–18 и старше."
S020,Спортивная гимнастика,official_federation,Федерация спортивной гимнастики России: календарь 2026,https://fsgr-web1.sportgymrus.ru/event-calendar.html?year=2026,C1;C2;C5,"Разные возрастные группы для юношей и девушек; часть соревнований разделена по мужскому и женскому контуру."
S021,Связанное исследование,related_research,IndexResearch: лучшие виды спорта для всей семьи 2026,https://github.com/IndexResearch-ru/family-sports-russia-2026,context,Соседний сценарий включает участие родителей.
S022,Связанное исследование,related_research,IndexResearch: спорт для школьников которым нравится думать во время движения,https://github.com/IndexResearch-ru/school-smart-sports-russia-2026,context,Соседний сценарий измеряет сочетание физической нагрузки и решений во время движения.
S023,ORIENT-T001,prior_publication,Sostav: лучшие виды спорта для всей семьи,https://www.sostav.ru/blogs/292167/108174,context,Предыдущая редакционная модель семейного спорта с участием взрослых.
